NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA Tostas com Sal 800 g,,,"2,71 €","3,39 €/Kg",,,
O MOINHO DO DIA Gressinos Pequenos 250 g,,,"1,45 €","5,80 €/Kg",,,
BOLLYCAO Clássico 4 Un,,,"1,49 €","0,37 €/ud",,,
CHIPICAO Mini Baunilha 80 g,,,"1,15 €","14,37 €/Kg",,,
DIA DOCE NO LAR Pães de Leite 210 g,,,"1,25 €","5,95 €/Kg",,,
DIA Tortilhas de Trigo 320 g,,,"1,59 €","4,97 €/Kg",,,
BOLLYCAO Mini 90 g,,,"1,29 €","14,33 €/Kg",,,
CHIPICAO Croissant Maxi Chocolate 80 g,,,"1,24 €","15,50 €/Kg",,,
CHIPICAO Bolo com Recheio de Chocolate 57 g,,,"1,12 €","19,65 €/Kg",,,
DIA DOCE NO LAR Biscoitos Esses 300 g,,,"1,33 €","4,43 €/Kg",,,
"DIA ENTÃO, TUDO EM FORMA? Pão de Forma Sem Côdea 450 g",,,"1,46 €","3,24 €/Kg",,,
DIA Pão Ralado Alho e Salsa 250 g,,,"0,79 €","3,16 €/Kg",,,
PANRICO Pão de Forma Sem Côdea Branco 450 g,,,"2,09 €","4,64 €/Kg",,,
MANHÃZITOS com Pepitas de Chocolate 8x35 g,,,"2,69 €","9,61 €/Kg",,,
DIA Pão Ralado Integral 250 g,,,"0,69 €","2,76 €/Kg",,,
MANHÃZITOS com Pepitas de Chocolate Leite 8x35 g,,,"2,69 €","9,61 €/Kg",,,
FORNADA DO DIA Roscas Cobertas com Chocolate 60 g,,,"0,49 €","8,17 €/Kg",,,
DIA DOCE NO LAR Línguas de Veado 250 g,,,"1,73 €","6,92 €/Kg",,,
SAMBA Fofos Morango 100 g,,,"1,14 €","11,40 €/Kg",,,
SAMBA Fofos Baunilha 100 g,,,"1,14 €","11,40 €/Kg",,,
CHIPICAO Bolo com Recheio de Chocolate 4x57 g,,,"2,85 €","12,50 €/Kg",,,
OLD EL PASO Tortilhas Mexicanas 244 g,,,"2,29 €","9,39 €/Kg",,,
FORNADA DO DIA Baguete de Trigo 210 g,,,"0,56 €","2,67 €/Kg",,,
DIA O MOINHO DO DIA Madalenas Quadrada 380 g,,,"1,99 €","5,69 €/Kg",,,
DIA DOCE NO LAR Palmiers Integrais 125 g,,,"1,12 €","8,96 €/Kg",,,
CHIPICAO Croissant Mini 80 g,,,"1,15 €","14,37 €/Kg",,,
DIA Gofre Coberto de Chocolate 6x60 g,,,"2,70 €","22,50 €/Kg",,,
MILKA Cake & Choc 175 g,,,"2,49 €","14,23 €/Kg",,,
PANRICO Pão de Forma Sem Côdea Especial Torradas 510 g,,,"1,69 €","3,31 €/Kg",,,
PANRICO Pão de Forma Especial Torradas Familiar 750 g,,,"1,69 €","2,25 €/Kg",,,
Pão de Centeio Fatiado 350 g,,,"1,44 €","4,11 €/Kg",,,
OROWEAT Pão de Forma 12 Cereais E Sementes 680 g,,,"1,99 €","2,93 €/Kg",,,
DIA DOCE NO LAR Línguas de Gato 300 g,,,"1,59 €","5,30 €/Kg",,,
BIMBO Pão de Leite 280 g,,,"2,49 €","8,89 €/Kg",,,
FORNADA DO DIA Baguettine de Trigo Integral 90 g,,,"0,25 €","2,78 €/Kg",,,
FORNADA DO DIA Chausson de Maçã 95 g,,,"0,94 €","9,89 €/Kg",,,
FORNADA DO DIA Merenda Mista 100 g,,,"0,84 €","8,40 €/Kg",,,
FORNADA DO DIA Napolitana de Chocolate 110 g,,,"1,25 €","11,36 €/Kg",,,
FORNADA DO DIA Croissant Brioche 90 g,,,"0,75 €","8,33 €/Kg",,,
FORNADA DO DIA Carcaça em Forno Lenha 70 g,,,"0,19 €","2,71 €/Kg","0,22 €","3,14 €/Kg",
FORNADA DO DIA Empada de galinha 65 g,,,"0,91 €","14,00 €/Kg",,,
FORNADA DO DIA Bolo de Arroz 70 g,,,"0,65 €","9,29 €/Kg",,,
FORNADA DO DIA Queque 55 g,,,"0,56 €","10,18 €/Kg",,,
FORNADA DO DIA Pão de Trigo Com Cereais   85 g,,,"0,21 €","2,47 €/Kg","0,26 €","3,06 €/Kg",
MANHÃZITOS Planetus -50% Açúcares 210 g,,,"1,95 €","9,29 €/Kg",,,
FORNADA DO DIA Pão Integral com Sementes 350 g,,,"1,09 €","3,11 €/Kg",,,
FORNADA DO DIA Maple Pecan 85 g,,,"0,76 €","8,94 €/Kg",,,
FORNADA DO DIA Muffin Chocolate 80 g,,,"1,07 €","13,38 €/Kg",,,
DIA Broinhas de Fruta 300 g,,,"2,24 €","7,47 €/Kg",,,
DIA Sortido Húngaro 300 g,,,"2,54 €","8,47 €/Kg",,,
FORNADA DO DIA Pão de Deus 100 g,,,"0,97 €","9,70 €/Kg",,,
FORNADA DO DIA Bolo do Caco 100 g,,,"0,69 €","6,90 €/Kg",,,
FORNADA DO DIA Folhado Misto Com Carne 140 g,,,"0,99 €","7,07 €/Kg",,,
FORNADA DO DIA Folhado de Pizza 93 g,,,"0,91 €","9,78 €/Kg",,,
FORNADA DO DIA Pão de Centeio 400 g,,,"1,04 €","2,60 €/Kg",,,
FORNADA DO DIA Pão com Chouriço 110 g,,,"1,03 €","9,36 €/Kg",,,
BIMBO Pão de Forma Sem Côdea 650 g,,,"2,19 €","3,37 €/Kg",,,
MILKA Choco Brownie 150 g,,,"2,49 €","16,60 €/Kg",,,
BIMBO Pão de Forma Sem Côdea Especial Torradas 650 g,,,"2,32 €","3,57 €/Kg",,,
Tarte de Côco 400 g,,,"4,19 €","10,48 €/Kg",,,
CEREALIA Pão 5 Sementes 435 g,,,"2,29 €","5,26 €/Kg",,,
DONUTS Bombón 4 Un,,,"1,99 €","0,50 €/ud",,,
KINDER Delice 39 g,,,"0,79 €","20,26 €/Kg",,,
DIA DOCE NATAL Broa Castelar  250 g,,,"1,29 €","5,16 €/Kg",,,
FORNADA DO DIA Bolo Rei 600 g,,,"5,99 €","9,98 €/Kg",,,
BIMBO Mini Tosta Redonda  100 g,,,"1,69 €","16,90 €/Kg",,,
BIMBO Mini Tostas Rectangular  100 g,,,"1,69 €","16,90 €/Kg",,,
BIMBO Mini Tosta Integral  100 g,,,"1,69 €","16,90 €/Kg",,,
AVÓ ELVIRA Bolachas de Baunilha 160 g,,,"1,75 €","10,94 €/Kg",,,
AVÓ ELVIRA Bolachas de Amendoim 170 g,,,"1,79 €","10,53 €/Kg",,,
FÁBRICA DAS CAVACAS DAS CALDAS Beijinhos Das Caldas 100 g,,,"1,99 €","19,90 €/Kg",,,
FÁBRICA DAS CAVACAS DAS CALDAS Broas de Mel 260 g,,,"2,29 €","8,81 €/Kg",,,
PASTELINHOS DE SAFARA Bolo Podre (Mel) 450 g,,,"3,99 €","8,87 €/Kg",,,
Popia Alentejana 300 g,,,"2,69 €","8,97 €/Kg",,,
PASTELINHOS DE SAFARA Esses De Limão 400G 400 g,,,"3,49 €","8,73 €/Kg",,,
FORNADA DO DIA Pão Massa Madre 400 g,,,"1,09 €","2,79 €/Kg",,,
THE RUSTIK BAKERY Pão de Massa Mae 450 g,,,"2,29 €","5,09 €/Kg",,,
THE RUSTIK BAKERY Pão de Cereais 450 g,,,"2,29 €","5,09 €/Kg",,,
BIMBO Little Bites 188 g,,,"2,99 €","15,90 €/Kg",,,
PANRICO Pão de Forma Branco 500 g,,,"1,89 €","3,78 €/Kg",,,
BIMBO Pão Forma com Côdea Especial Torradas 700 g,,,"2,32 €","3,31 €/Kg",,,
BIMBO Pão De Forma Integral com Codea 480 g,,,"1,69 €","3,52 €/Kg",,,
Booguie Zebra Recheada 75 g,,,"0,75 €","10,00 €/Kg",,,
D'AVÓ Pão de Ló 500 g,,,"5,49 €","10,98 €/Kg",,,
DIA DOCE NO LAR Areias 300 g,,,"1,95 €","6,50 €/Kg",,,
BIMBO Little Bites Brownie 200 g,,,"2,99 €","14,95 €/Kg",,,
"DIA ENTÃO, TUDO EM FORMA? Pão de Forma Normal 600 g",,,"1,09 €","1,82 €/Kg",,,
O MOINHO DO DIA Madalenas Clássicas 350 g,,,"1,89 €","5,53 €/Kg",,,
DONUTS Classic 200 g,,,"1,99 €","9,95 €/Kg",,,
DIA O MOINHO DO DIA Torta Recheio de Morango 300 g,,,"1,53 €","5,10 €/Kg",,,
O MOINHO DO DIA Torta Coberta de Cacau 300 g,,,"1,53 €","5,10 €/Kg",,,
DIA DOCE NO LAR Bolacha Ondulada 300 g,,,"1,35 €","4,50 €/Kg",,,
DIA Pão Ralado 750 g,,,"1,55 €","2,07 €/Kg",,,
FORNADA DO DIA Pão de Mistura Forno Lenha   400 g,,,"0,87 €","2,18 €/Kg",,,
DIA Biscoitos de Canela 300 g,,,"2,18 €","7,27 €/Kg",,,
DIA DOCE NO LAR Fofinhos 300 g,,,"1,12 €","3,73 €/Kg",,,
O MOINHO DO DIA Palmiers 270 g,,,"1,76 €","6,52 €/Kg",,,
BIMBO Pão Burguer 220 g,,,"1,35 €","6,14 €/Kg",,,
DIA DOCE NO LAR Bolo Redondo de Chocolate 500 g,,,"4,12 €","8,24 €/Kg",,,
FORNADA DO DIA Cacetinhos de Trigo 90 g,,,"0,26 €","2,89 €/Kg",,,
FORNADA DO DIA Pastel de Nata 65 g,,,"0,63 €","9,69 €/Kg",,,
FORNADA DO DIA Croissant Folhado 65 g,,,"0,56 €","8,62 €/Kg",,,
FORNADA DO DIA Roscas Com Açúcar 49 g,,,"0,45 €","9,18 €/Kg",,,
FORNADA DO DIA Pão Bijou Mistura 45 g,,,"0,13 €","2,89 €/Kg",,,
BIMBO Pão de Forma Com Côdea 375 g,,,"1,69 €","4,51 €/Kg",,,
PANRICO Pão de Forma Sem Côdea 9 Cereais 480 g,,,"2,69 €","5,60 €/Kg",,,
DIA SELEÇÃO MUNDIAL Gressinos Finos 250 g,,,"1,85 €","7,40 €/Kg",,,
FORNADA DO DIA Bola Com Centeio 74 g,,,"0,25 €","3,38 €/Kg",,,
MUSEU DO PÃO - Pão de Aveia Fatiado 350 g,,,"1,75 €","5,00 €/Kg",,,
DIA O MOINHO DO DIA Tostas de Trigo Integral 225 g,,,"1,05 €","4,67 €/Kg",,,
DIA VITAL Tostas Integrais 800 g,,,"2,41 €","3,01 €/Kg",,,
DIA DOCE NO LAR Mini Cenoura 300 g,,,"1,55 €","5,17 €/Kg",,,
DIA DOCE NO LAR Supremas de Chocolate 325 g,,,"3,20 €","9,85 €/Kg",,,
DIA O MOINHO DO DIA Meias Noites 250 g,,,"1,35 €","5,40 €/Kg",,,
DIA O MOINHO DO DIA Napolitana Recheada de Cacau 320 g,,,"1,83 €","6,78 €/Kg",,,
FORNADA DO DIA Pão de Leite 4x60 g,,,"1,60 €","6,67 €/Kg",,,
DIA Mini Tostas 350 g,,,"1,91 €","5,46 €/Kg",,,
Tarte Brigadeiro 400 g,,,"4,19 €","10,48 €/Kg",,,
BIMBO Pão de Forma Com Côdea Familiar 700 g,,,"1,79 €","2,56 €/Kg",,,
FORNADA DO DIA Pão de Mafra 400 g,,,"0,87 €","2,18 €/Kg",,,
FORNADA DO DIA Pão Abóbora E Nozes 70 g,,,"0,49 €","7,00 €/Kg",,,
CEREALIA Pão de Forma 100% Integral 385 g,,,"2,29 €","5,95 €/Kg",,,
BIMBO Pão Roll's 6 un,,,"1,99 €","8,29 €/Kg",,,
FORNADA DO DIA Pão da Avó 80 g,,,"0,22 €","2,75 €/Kg",,,
Torta de Ovo 400 g,,,"3,99 €","9,98 €/Kg",,,
FORNADA DO DIA Folhado de Frango 100 g,,,"0,79 €","7,90 €/Kg",,,
FORNADA DO DIA Folhado de Espinafres e Queijo 95 g,,,"1,29 €","13,58 €/Kg",,,
FORNADA DO DIA Folhado de Salsicha 110 g,,,"1,14 €","10,36 €/Kg",,,
FORNADA DO DIA Pão de Ló Cremoso 500 g,,,"5,49 €","10,98 €/Kg",,,
CAVACAS DAS CALDAS Areados de Canela 260 g,,,"2,24 €","8,62 €/Kg",,,
CAVACAS DAS CALDAS Suspiros Finos 70 g,,,"1,64 €","23,43 €/Kg",,,
AVÓ ELVIRA Wafers de Chocolate TB 250 g,,,"2,39 €","9,56 €/Kg",,,
FORNADA DO DIA Croissant com Chocolate 80 g,,,"0,90 €","11,25 €/Kg",,,
"DIA YES, BURGER! Pão Burger 4 un",,,"0,95 €","0,24 €/ud",,,
"DIA YES, DOG! Pão Hot Dog 6 un",,,"1,05 €","0,18 €/ud",,,
FORNADA DO DIA Croissant com Creme de Ovo 90 g,,,"1,01 €","11,22 €/Kg",,,
BIMBO Maxi Burguer 300 g,,,"1,79 €","5,97 €/Kg",,,
PANRICO Pão de Forma Torradas Integral 520 g,,,"1,49 €","2,87 €/Kg",,,
BIMBO Little Bites Mini Muffins Cenoura e Laranja 168 g,,,"2,99 €","17,80 €/Kg",,,
FORNADA DO DIA Bolo Rei 200 g,,,"3,49 €","17,45 €/Kg",,,
CONFEITARIA ALVORADA Panettone Frutas 500 g,,,"3,59 €","7,18 €/Kg",,,
CONFEITARIA ALVORADA Panettone Chocolate 500 g,,,"3,59 €","7,18 €/Kg",,,
BIMBO Bagels Clássico 4 un,,,"2,39 €","0,60 €/ud",,,
